Q100	city in and state capital of Massachusetts, United States
Q100755	Italian comune
Q100758	Italian comune
Q100761	Italian comune
Q100764	commune of Parma, Emilia-Romagna, Italy
Q100767	Italian comune
Q100772	Italian comune in the province of Parma
Q100775	Italian comune
Q100779	Italian comune
Q100782	Italian comune
Q100785	Italian comune
Q100788	Italian comune in Emilia-Romagna
Q1008	sovereign state in West Africa
Q100808	Italian comune
Q100811	Italian comune
Q100814	Italian comune
Q100819	Italian comune
Q100826	Italian comune
Q100829	Italian comune
Q100833	Italian comune
Q1008351	1959 American Western film directed by Howard Hawks
Q1008369	Canadian sportsperson and ice hockey player
Q100837	Italian comune
Q100843	Italian comune
Q100846	Italian comune
Q100850	Italian comune
Q100854	Italian comune
Q100858	Italian comune
Q10086	city in the state of Karnataka, India
Q1008673	American artist (1877-1947)
Q1008912	unincorporated census-designated place in Santa Barbara County, California
Q100894	Italian comune
Q100902	Italian comune
Q100905	Italian comune
Q10091	Croatian alpine skier
Q100916	Italian comune
Q100919	Italian comune
Q100923	Italian comune
Q100926	Italian comune
Q100932	Italian comune
Q100937	American dancer, singer, actor, choreographer and television presenter (1899-1987)
Q1009405	town in County Donegal, Ireland
Q100943	former Italian comune
Q100946	Italian comune
Q1009495	American actor, popular during the silent film era and into the talkie era of the 1930s, best known today as the lead actor in F. W. Murnau's 1927 film Sunrise: A Song of Two Humans
Q100951	Italian comune
Q100955	Italian comune
Q100959	Italian comune
Q100962	Italian comune
Q100973	Italian comune
Q100977	Italian comune
Q1009788	1974 film by Francis Ford Coppola
Q100980	Italian comune
Q100983	Italian commune in Parma
Q1010	city in Slovenia
Q1010099	2000 film by Stephen Kay
Q10101	American alpine skier
Q1010144	town in the South Bohemian Region of the Czech Republic
Q1010247	city in Colorado, USA
Q101028	Italian comune
Q1010307	French independent association of the most beautiful villages in France
Q101032	Italian comune
Q101036	Italian comune
Q101039	Italian comune
Q101042	Italian comune
Q101045	Italian comune
Q101048	Italian comune
Q101053	Italian comune
Q1010548	government agency
Q101057	Italian comune
Q1010595	city in Utah County, Utah, United States
Q101060	Italian comune
Q101063	Italian comune
Q101067	Italian comune
Q101073	Italian comune
Q101077	Italian comune
Q101082	Italian comune
Q1011	sovereign state comprising ten islands off the Western coast of Africa
Q1011035	commune in Ille-et-Vilaine, France
Q1011038	commune in Ille-et-Vilaine, France
Q1011061	commune in Ille-et-Vilaine, France
Q1011085	former commune in Ille-et-Vilaine, France
Q101109	Italian comune
Q1011116	town in California
Q101112	Italian comune
Q101115	Italian comune
Q101117	Italian comune
Q1011181	city in California, United States
Q101130	Italian comune
Q101134	German prehistorian
Q101135	human settlement in Val Brembilla, Italy
Q101139	Italian comune
Q101142	Italian comune
Q101145	Italian comune
Q101148	Italian comune
Q1011509	film award
Q101151	Italian comune
Q101155	Italian comune
Q101158	Italian comune
Q1011589	former commune in Ille-et-Vilaine, France
Q1011606	former commune in Ille-et-Vilaine, France
Q101161	Italian comune
Q101179	Italian comune
Q10118	Belarusian tennis player
Q101182	Italian comune
Q101183	German jurist, politician
Q101187	Italian comune
Q101190	Italian comune
Q101194	Italian comune
Q101196	Italian comune
Q101199	Italian comune
Q10120	British female tennis player
Q101202	Italian comune
Q101205	Italian comune
Q1012076	suburb of Melbourne, Victoria, Australia
Q101208	Italian comune
Q1012098	Canadian ice hockey coach
Q101224	Italian comune
Q101226	Italian comune
Q101229	Italian comune
Q101232	Italian comune
Q101236	Italian comune
Q101239	Italian comune
Q101242	Italian comune
Q101248	Italian comune
Q10125	British tennis player
Q101251	Italian comune
Q101255	Italian comune
Q101258	Italian comune
Q101262	Italian comune
Q1012631	city in Luhansk Oblast (province) of south-eastern Ukraine
Q101264	Italian comune
Q101269	Italian comune
Q10129	American female tennis player
Q101291	Italian comune
Q101295	Italian comune
Q101298	Italian comune
Q1013	sovereign state in southern Africa
Q101301	Italian comune
Q101304	Italian comune
Q1013083	commune in Côtes-d'Armor, France
Q101309	Italian comune
Q10131	Argentine footballer (1910-2010)
Q101312	Italian comune
Q101315	Italian comune
Q1013168	commune in Côtes-d'Armor, France
Q101318	Italian comune
Q1013228	borough of New Jersey
Q1013249	town in New Jersey in eastern USA
Q1013261	borough in Bergen County, New Jersey, United States of America
Q101341	municipality in Innlandet county, Norway
Q1013441	former commune in Aude, France
Q101346	Italian comune
Q101350	Italian comune
Q101358	Italian comune
Q1013603	commune in Calvados, France
Q101364	Italian comune
Q101369	Italian comune
Q1013698	former commune in Calvados, France
Q101372	Italian comune
Q101377	Italian comune
Q101379	Italian comune
Q101382	Italian comune
Q101388	Italian comune
Q1013885	town in the Czech Republic
Q1013957	former commune in Calvados, France
Q1013973	former commune in Côtes-d'Armor, France
Q1013984	former commune in Côtes-d'Armor, France
Q1014	sovereign state in West Africa
Q101408	German legal scholar
Q101409	Italian comune
Q101413	Italian comune
Q101416	Italian comune
Q101423	Italian comune
Q101426	Italian comune
Q1014266	municipality of Famagusta District, Cyprus
Q101428	Italian comune
Q101433	Italian comune
Q101466	Italian comune
Q1014699	town in North Macedonia
Q101470	Italian comune
Q101474	Italian comune
Q1014753	former commune in Côtes-d'Armor, France
Q1014758	commune in Côtes-d'Armor, France
Q101477	Italian comune
Q1014789	former commune in Côtes-d'Armor, France
Q101481	Italian comune
Q1014819	railway line in Switzerland, linking Burgdorf and Thun
Q101484	Italian comune
Q1015	city in southwest Slovenia
Q101500	Italian comune
Q101503	Italian comune
Q101507	Italian comune
Q101510	Italian comune
Q101512	Italian comune
Q101515	Italian comune
Q101519	Italian comune
Q101522	Italian comune
Q101526	Italian comune
Q101545	Italian comune
Q101548	Italian comune
Q1015482	U.S. interstate compact to allocate presidential electors to the winner of the national popular vote
Q101549	ardent anti-Nazi, an agent of the Abwehr, the German military intelligence organization, and later a leading Catholic Traditionalist
Q101551	Italian comune
Q101554	Italian comune
Q101557	Italian comune in Lombardy
Q101560	Italian comune
Q101563	Italian comune
Q101566	Italian comune
Q1015676	commune in Ariège, France
Q101569	Italian comune
Q101572	Italian comune
Q101576	Italian comune
Q101580	Italian comune
Q101585	Italian comune
Q1015874	neighborhood in Los Angeles
Q101590	Italian comune
Q1016	sovereign state in north Africa
Q101612	Italian comune
Q101616	Italian comune
Q101617	German politician
Q101620	Italian comune
Q101623	Italian comune
Q101625	city in Morocco
Q101628	Italian comune
Q101631	Italian comune
Q101634	Italian comune
Q101637	Italian comune
Q101641	comune of Lombardy, Italy
Q101645	Italian comune
Q101648	Italian comune
Q101651	Italian comune
Q101654	Italian comune
Q101657	Italian comune
Q1016590	town in Edgefield County, South Carolina, United States
Q101661	Italian comune
Q101663	Italian comune
Q1016669	commune in Aude, France
Q1016685	episode of Star Trek: Voyager (S1 E6)
Q101683	German classical philologist (1914–1996)
Q101685	Italian comune
Q1016894	commune in Alpes-de-Haute-Provence, France
Q101690	Italian comune
Q101693	Italian comune
Q101696	Italian comune
Q101699	Italian comune
Q1017	city in North Rhine-Westphalia, Germany
Q101702	Italian comune
Q101706	Italian comune
Q101709	Italian comune
Q101713	Italian comune
Q101718	Italian comune
Q101721	Italian comune
Q101724	Italian comune
Q101730	16th FIFA World Cup, held in France in 1998
Q101744	Italian comune
Q101747	Italian comune
Q101750	Italian comune
Q101751	15th FIFA World Cup, hosted by the United States
Q101753	Italian comune
Q101756	Italian comune
Q101759	Italian comune
Q101763	Italian comune
Q101765	German footballer (1933-2015)
Q101766	Italian comune
Q101770	Italian comune
Q101773	Italian comune
Q1017781	former commune in Hautes-Alpes, France
Q101780	Italian comune
Q101783	Italian comune
Q1017841	former commune in Hautes-Alpes, France
Q101797	American actress
Q1018042	2011 film by Jim Field Smith
Q101810	Italian comune
Q101812	Italian comune
Q1018239	City in Manitoba, Canada
Q1018487	1963 film by George Sidney
Q1018584	City of Guatemala Department, Guatemala
Q101859	sportsclub from Wolfsburg
Q1018591	Canadian professional ice hockey player
Q1018595	commune in Alpes-de-Haute-Provence, France
Q1018608	commune in Alpes-de-Haute-Provence, France
Q1018614	American film and television director
Q1018631	Canadian ice hockey player
Q1018700	town in the Czech Republic
Q1019	island sovereign state off the coast of Southeast Africa, in the Indian Ocean
Q10191	Italian comune
Q1019156	commune in Vaucluse, France
Q10192	Italian comune
Q10193	Italian comune
Q10194	Italian comune
Q1019496	city in Saskatchewan, Canada
Q1019532	county seat of Alpine County, California, USA
Q101959	professional football club
Q10197	Italian comune
Q10198	Italian comune
Q1020	sovereign state in Africa
Q10200	comune (municipality) in the Province of Turin in the Italian region Piedmont
Q10201	Italian comune
Q1020241	national park in Northern Norway
Q102026	German classical archaeologist
Q102027	Italian association football player and manager
Q10203	Italian comune
Q10204	Italian comune
Q10205	Italian comune
Q1020512	village in Catalonia, Spain
Q1020603	1937 film by Gregory La Cava
Q1020678	county seat of Inyo County, California
Q10207	Italian comune
Q1020700	area of Alameda County, California, USA
Q10208	Italian comune
Q10209	Italian comune
Q1021	the fourth-largest city in Slovenia
Q10211	Italian comune
Q10212	Italian comune
Q102124	American actress
Q10213	Italian comune
Q10215	Italian comune
Q102158	city in Estonia
Q10217	Italian comune
Q102178	international organization that connects the various national chess federations around the world
Q1021786	commune in Ille-et-Vilaine, France
Q1021866	lake in Bützow, Mecklenburg-Vorpommern, Germany
Q10219	comune (municipality) in the Province of Turin in the Italian region Piedmont
Q1022	capital city of German federated state Baden-Württemberg
Q10221	Italian comune
Q102217	city and capital of the Vitebsk region in northeastern Belarus
Q10222	Italian comune
Q102225	2005 British fantasy film by Mike Newell
Q102235	2007 fantasy film by David Yates
Q1022373	1976 film by Peter Yates
Q10224	Italian comune
Q102244	2002 British fantasy film directed by Chris Columbus
Q1022537	American actor (1930-2009)
Q10226	Italian comune
Q102272	Flemish painter (c.1390-1441)
Q102274	German landscape architect
Q102289	American architect, systems theorist, author, designer, inventor and futurist
Q10229	Italian comune
Q1022904	Argentine sports club
Q102291	British chemist
Q1022923	association football club
Q1022939	sports club in Argentina
Q10231	Italian comune
Q1023114	An automated people mover (APM) system consisting of 2 lines serving Roissy-Charles de Gaulle Airport in Roissy, Ile-de-France, near Paris, France
Q102317	city and capital of the Świętokrzyskie Voivodeship in south-central Poland
Q1023185	association football club
Q1023191	Club de fútbol Chileno
Q1023193	Mexican association football club
Q10232	Italian comune
Q1023208	Football Club
Q102322	Duchess of Pomerania
Q1023222	association football club
Q1023235	Mexican association football club
Q102331	Brazilian association football player (1954-2011)
Q10234	Italian comune
Q102341	American actress
Q1023498	commune in Ille-et-Vilaine, France
Q102350	city with powiat rights of Poland
Q1023532	Guadalajara, Mexico association football club
Q10236	Italian comune
Q10237	Italian comune
Q10239	Italian comune
Q1023937	town in Futaba District, Fukushima Prefecture, Japan
Q102397	city in Northeastern Hungary
Q1024085	CDP in Contra Costa County, California, United States
Q10241	Italian comune
Q1024100	census designated place in Maricopa County, Arizona, United States
Q102419	English organic chemist
Q10242	Italian comune
Q1024264	association football club
Q10243	Italian comune
Q1024337	Guatemalan association football club
Q1024341	association football club
Q102438	2001 fantasy film directed by Chris Columbus
Q1024426	university in Columbia, South Carolina
Q102445	town in Russia
Q1024460	association football club in Cartago
Q102448	2004 British fantasy film directed by Alfonso Cuarón
Q1024486	association football club
Q10245	Italian comune
Q102454	American economist
Q10246	Italian comune
Q102462	American actor
Q10247	Italian comune
Q10248	Italian comune
Q1024839	1943 American musical film with an all-Black cast, directed by Vincente Minnelli
Q1025	sovereign state in Africa
Q10250	Italian comune
Q1025096	1988 film by Allan Arkush
Q10252	Italian comune
Q102529	48th Archbishop of Regensburg
Q1025387	city of the Philippines and capital of the province of Southern Leyte
Q10254	Italian comune
Q1025401	district in Toronto, Ontario, Canada
Q10255	comune in the Province of Turin in the Italian region Piedmont
Q102551	American actor
Q102555	Italian comune
Q102558	Italian comune
Q10256	Italian comune
Q102562	Italian comune
Q102565	Italian comune
Q102566	Italian comune
Q102569	Italian comune
Q10257	rail tunnel beneath the English Channel between France and Great Britain
Q102576	Italian comune
Q102578	Italian comune
Q10258	Italian comune
Q102580	Italian comune
Q102583	Italian comune
Q102585	German philosopher
Q102587	former Italian comune
Q102589	former Italian comune
Q102590	Italian comune
Q102599	Italian comune
Q10260	Italian comune
Q102609	Italian comune
Q1026120	Canadian ice hockey player
Q102615	Italian comune
Q10262	Italian comune
Q102621	Italian comune
Q102623	Italian comune
Q102625	Italian comune
Q1026274	municipality of the Philippines in the province of Misamis Oriental
Q1026296	city and municipality in Nicaragua
Q10263	Italian comune
Q102631	Italian comune
Q102634	Italian comune
Q102636	Italian comune
Q1026372	1954 film by Douglas Sirk
Q102639	Italian comune
Q10264	Italian comune
Q102642	American film actress, director, producer and screenwriter
Q102643	Italian comune
Q1026449	1952 film by Kurt Neumann
Q102647	Italian comune
Q1026484	1952 film by Budd Boetticher
Q10265	Italian comune
Q102652	Italian comune
Q102661	Italian Comune
Q1026615	1952 film by George Sherman
Q102664	Soviet-Latvian chess player
Q1026650	1952 World War II film directed by Budd Boetticher
Q1026669	1953 film by Raoul Walsh
Q1026679	Canadian football team
Q1026724	1953 film by Budd Boetticher
Q102673	Russian oil and gas company
Q1026744	village in North Macedonia
Q1026756	2011 comedy film directed by Alex Zamm
Q102677	Italian comune
Q10268	Italian comune
Q1026827	university located in Valencia, in Los Angeles County, California
Q10268484	Brazilian footballer (born 1994)
Q1026872	2012 film by Lee Daniels
Q102691	Italian comune
Q1026939	university
Q1027	island sovereign state in the Indian Ocean
Q102700	Italian comune
Q102706	Italian comune
Q10271	Italian comune
Q102711	American actor and filmmaker (1936–2010)
Q102716	Italian comune
Q10272	Italian comune
Q1027209	Swedish ice hockey player
Q102725	Italian comune
Q102727	Italian comune
Q10273	Italian comune
Q102736	settlement in the italian municipality of San Marcello Piteglio
Q1027483	Brazilian association football player
Q10275	Italian comune
Q102754	1962 film by Terence Young
Q10276	Italian comune
Q102762	town in Rostov Oblast, Russia
Q1027645	Norwegian speed skater
Q102767	Italian comune
Q1027680	1992 film by Roger Donaldson
Q10277	Italian comune
Q102771	Italian comune
Q102776	Italian comune
Q10278	Italian comune
Q102780	Italian comune
Q102781	Italian comune
Q102784	Italian comune
Q1027888	episode of Star Trek: Deep Space Nine (S4 E12)
Q10279	comune (municipality) in the Province of Turin in the Italian region Piedmont
Q1027900	American ice hockey player
Q1027905	Canadian-born American ice hockey player
Q102791	Italian comune
Q1027913	Canadian ice hockey player
Q1028	sovereign state in North Africa
Q10280	Italian comune
Q102807	Italian comune
Q10281	Italian comune
Q1028109	Canadian ice hockey player
Q102811	Italian comune
Q102813	American actor (1920-1985)
Q102816	Italian comune
Q1028196	census designated place
Q102820	former Italian comune
Q102822	Dutch physical and organic chemist
Q102824	Italian comune
Q10284	Italian comune
Q102840	Italian comune
Q102845	Italian comune
Q1028538	association football club
Q1028569	Road bicycle racer
Q10286	Spanish association football team
Q1028729	Canadian ice hockey defenceman
Q1028782	American ice hockey player
Q1029	sovereign state in Africa
Q1029040	solar eclipse
Q10291	Italian comune
Q1029191	Canadian ice hockey player
Q10292	Italian comune
Q102920	12th European association football championship
Q102925	Italian comune
Q10293	Italian comune
Q102931	Italian comune
Q1029339	company
Q102946	Italian comune
Q10294979	Austrian-American actor
Q10295	Italian comune
Q102951	Italian comune
Q1029535	American actor
Q1029546	1992 film by Howard Franklin
Q102958	Italian comune
Q1029594	Canadian ice hockey defenceman
Q1029606	1998 film by John Landis
Q102965	Italian comune
Q1029664	Russian tennis player
Q10297	Italian comune
Q1029710	island
Q102972	Italian comune
Q1029761	Basque nationalist coalition from the Basque Autonomous Community and Navarre in Spain
Q102979	Italian comune
Q10298	Italian comune
Q102985	Italian comune
Q10299	Italian comune
Q102991	Italian comune
Q1029921	line of the Delhi Metro system
Q102997	Italian comune
Q102999	Italian comune
Q1030	sovereign state in southern Africa
Q10300	Spanish football team
Q103004	Italian comune
Q103006	Italian comune
Q10301	Italian comune
Q103010	Italian comune
Q103015	Italian comune
Q103016	Italian comune
Q10302	Italian comune
Q103022	Italian comune
Q103026	Italian comune
Q10303	Italian comune
Q1030307	Russian post-impressionist painter, publisher, restorer and historian of art (1871-1960)
Q103031	Italian comune
Q10304	Italian comune
Q103040	Italian comune
Q1030402	literary award
Q1030465	American actor
Q103049	Italian comune
Q10305	Municipality, Spain
Q103053	Italian comune
Q103058	Italian comune
Q10306	Italian comune
Q1030652	1991 film directed by Russell Mulcahy
Q10307	Italian comune
Q1030713	American television soap opera
Q103077	Italian comune
Q10307713	2015 American epic dystopian (science fiction) war film directed by Francis Lawrence
Q10308	Spanish association football team based in Zaragoza, Spain
Q103081	Italian comune
Q103083	German politician
Q10309	Italian comune
Q1030918	district of Kerala, India
Q103093	county (län) in Sweden
Q103095	Italian comune
Q1030954	television series
Q10310	Italian comune
Q10311	Italian comune
Q103110	Italian comune
Q10312	Italian comune
Q1031200	association football club in Portland, Oregon, USA
Q1031248	1990 American television series
Q103127	Italian comune
Q10313	city in Basque Country, Spain
Q103136	Italian comune
Q1031383	television series
Q10314	Italian comune
Q103148	right tributary of the Rhine River in Germany
Q10315	association football club in San Sebastián, Spain
Q1031504	cycling race
Q103155	Italian comune
Q103157	American actor
Q10316	Italian comune
Q103161	Italian comune
Q103170	Italian comune
Q103178	Italian comune
Q10318	Italian comune
Q1031821	1960 film by Walter Lang
Q103186	Italian comune
Q10319	Spanish football club
Q1031953	1944 film by William A. Wellman
Q1031994	award
Q1032	sovereign state in Western Africa
Q10320	Italian comune
Q103201	Italian comune
Q103209	Italian comune
Q103217	city in the Silesian Voivodeship in southern Poland
Q103219	Italian comune
Q10322	settlement in the italian municipality of Valchiusa
Q1032266	1912 film by D. W. Griffith
Q103228	Italian comune
Q10323	Italian comune
Q1032317	Austrian archduchess
Q103239	Italian comune
Q10324	Italian comune
Q103244	Italian city
Q10325	commune in Piedmont, Italy
Q103253	Italian comune
Q1032540	French television channel
Q10326	Italian comune
Q1032609	English association football player (born 1993)
Q103262	Italian comune
Q10326478	Argentine footballer, born 1937
Q103270	Italian comune
Q103279	Italian comune
Q10328	Italian comune
Q103287	Italian comune
Q10329	Spanish association football club
Q103297	Italian comune
Q10330	Italian comune
Q1033016	American actress
Q103305	Italian comune
Q1033050	American-Belgian professional basketball player
Q1033084	American radio performer, bass player, vocalist and animation voice actor
Q10331	Italian comune
Q1033191	2008 science fiction action film directed by Paul W. S. Anderson
Q1033220	state highway in Massachusetts, United States
Q10333	Spanish association football club
Q10334	Italian comune
Q10334090	1942 film
Q103343	American actress
Q10335	Italian comune
Q10336	Italian comune
Q10336513	1939 film by Elliott Nugent
Q1033692	college
Q10337	Italian comune
Q10338	Italian comune
Q1033882	cyclist
Q10339	Italian comune
Q1033909	Israeli actor
Q103402	Italian comune
Q103408	Italian comune
Q1034128	american actor
Q103413	Italian comune
Q103417	Italian comune
Q10342	Italian comune
Q103420	Italian comune
Q10343	Italian comune
Q1034312	former rocket launch site in Florida, USA
Q1034348	American space launch site at Cape Canaveral Air Force Station in Florida, USA
Q103435	Italian comune
Q10344	Italian comune
Q103440	Italian comune
Q103443	Italian comune
Q1034556	Australian rules football club
Q10346	Italian comune
Q103462	Italian comune
Q1034635	Washington, DC-based bicycle sharing system
Q103465	Italian comune
Q10347	Italian comune
Q103474	1968 film by Stanley Kubrick
Q10348	settlement in the italian municipality of Valchiusa
Q103487	Italian comune
Q10349	Italian comune
Q1035	"British naturalist, author of ""On the origin of species, by means of natural selection"" (1809-1882)"
Q10350	Italian comune
Q10350033	2017 film by Espen Sandberg, Joachim Rønning
Q103502	Italian comune
Q103504	Italian comune
Q103508	Italian comune
Q1035093	1990 American-Yugoslavian superhero film directed by Albert Pyun
Q1035098	television series based on Toy Story
Q10351	Italian comune
Q1035124	1963 film by David Miller
Q103514	Italian comune
Q10352	Italian comune
Q103528	Italian comune
Q103533	Italian comune
Q103538	Italian comune
Q10354	Italian comune
Q10355	Italian comune
Q10356	Italian comune
Q103561	Italian comune
Q103567	Italian comune
Q103569	1979 British-American science-fiction horror film by Ridley Scott
Q10357	Italian comune
Q103572	Italian comune
Q1035752	local government area in Victoria, Australia
Q103576	Italian comune
Q103578	American actor and singer
Q10358	Italian comune
Q103582	Italian town
Q10359	Italian comune
Q1035958	American screenwriter, voice actor and film producer (1889-1962)
Q1036	sovereign state in East Africa
Q10360	Italian comune
Q103603	Italian comune
Q10361	Italian comune
Q10361338	episode of Star Trek: The Next Generation (S6 E23)
Q103617	Italian comune
Q10362	Italian comune
Q103630	Italian comune
Q103635	Italian comune
Q10364	Italian comune
Q103640	Italian comune
Q103646	American film director, producer, and actor
Q1036504	Japanese composer, arranger, keyboardist (1939-)
Q1036505	town in Kudō district, Hokkaido, Japan
Q103659	county (län) in Sweden
Q10366	Italian comune
Q10366645	Pan-European stock market index
Q103668	comune of Italy
Q103672	county (län) In Sweden
Q103679	county (län) In Sweden
Q103686	county (län) in Sweden
Q10368694	1938 film by Andrew L. Stone
Q10369	Italian comune
Q103691	county (län) in Sweden
Q103693	Italian comune
Q103699	county (län) of Sweden
Q1037	sovereign state in Africa
Q10370	Italian comune
Q103706	German jurist
Q103707	county (län) In Sweden
Q103709	Italian comune
Q103714	Italian comune
Q1037163	Canadian ice hockey player
Q103717	city in the region of Lapland in Finland
Q10371896	1936 film by Sidney Lanfield
Q103725	town in Iceland
Q10373	Italian comune
Q103730	Italian comune
Q103732	county (län) in Sweden
Q103739	Italian comune
Q103740	German journalist and politician
Q1037409	high-speed railway line in Japan operating between Tokyo and Kanazawa stations
Q103756	Belgian cyclist
Q103763	Italian comune
Q103764	German politician
Q103768	Italian comune
Q103784	Canadian actor
Q1037848	American screenwriter and film producer
Q103786	municipality of the Philippines in the province of Quezon
Q103788	American film director, film producer and sometime actor (1900-1987)
Q103791	Italian comune
Q1038051	pair of lines operated by the East Japan Railway Company (JR East) in Japan
Q103810	Italian comune
Q1038117	railway line in Japan
Q103813	Italian comune
Q10381565	film serial
Q103828	Italian comune
Q103832	Italian comune
Q103835	Dutch-American physicist and physical chemist
Q103837	Italian comune
Q10383892	1965 film by Lesley Selander
Q103840	Italian comune
Q10384115	2014 science fiction film directed by Wally Pfister
Q103846	American comedian
Q103847	Italian comune
Q10385027	town in Connecticut
Q103854	Danish physicist
Q1038576	Swedish ice hockey player
Q103867	Italian comune
Q1038714	Japanese road from Tokyo to Sendai.
Q103874	Italian comune
Q103876	British stage and film actor of Irish descent (1932-2013)
Q103883	Italian comune
Q10389	city in Indonesia
Q103891	Italian comune
Q103892	city with powiat rights of Poland
Q103894	British actor (1914-2000)
Q103899	municipality of the Philippines in the province of Quezon
Q1039	island sovereign state in Africa
Q103902	German physician
Q1039055	German painter (1822-1888)
Q103908	Italian comune
Q103917	American film producer, screenwriter and cinematographer
Q1039367	American businessman
Q103939	American film and television actor
Q103946	English-Canadian actor, director, producer, voice actor
Q103949	American actor and filmmaker
Q103987	municipality of the Philippines in the province of Quezon
Q103995	Italian comune
Q103999	Italian comune
Q1040	city in Baden-Württemberg, Germany
Q10400	city in Spain
Q104000	American actress and model
Q104007	Italian comune
Q10401	rural district in Bavaria, Germany
Q104014	Italian comune
Q104017	Italian comune
Q10402	district in Bavaria, Germany
