P1081	HDI
P3020	retention time, lake retention time, lake residence time, water residence time, water retention time
P3086	maximum speed, operating speed
P3157	race distance, stage distance
P3362	earnings before interest and taxes, EBIT, operating profit
P3457	CFR, case fatality, case fatality ratio, case fatality risk, fatality rate
P3529	median household income
P3737	max wavelength, maximum wavelength of electromagnetic sensitivity
P3738	min wavelength, minimum wavelength of electromagnetic sensitivity
P3744	followers, number of followers, subscribers, subscriber number, follower count, sub count, subs, subscriber count
P3872	customers, ridership, number of visitors, patrons, visitors, users, riders, passengers
P3983	level on league pyramid, level on pyramid, level on sport league pyramid, sport league level
P4010	GDP PPP, PPP GDP, gross domestic product (PPP)
P4103	AUM
P4350	saltiness
P4442	average age
P4511	depth, waterdepth
P4519	deadweight
P5043	abstentions
P5044	informal votes, invalid votes, spoilt votes
P5045	blank votes
P5141	coastal line, sea shoreline
P5167	motorization rate
P5595	platforms, number of platforms, platform faces
P5822	acceptance rate
P6546	PIMS in career
P6589	financial endowment
P6590	highest break (snooker)
P6591	highest temperature
P6697	Deloitte Football Rank
P6801	beds, hospital beds, number of beds
P6897	literate population (%), percentage of literate population
P7422	lowest temperature
P8010	number recovered, recovered cases, number of, recovery, number of cases
P8340	price estimation, traded cap, traded value, estimated worth
P8477	Bertelsmann Transformation Index Status
P569	DOB, birth date, birth year, birthdate, birthyear, born on, year of birth
P570	DOD, dead, death, death date, died on, year of death, date of the end, deathdate
P571	foundation, formation, introduction, formed in, date of establishment, date of founding, establishment date, founding date, introduced, created, built, commenced on date, commencement date, completed, constructed, construction date, created on date, creation date, date commenced, date constructed, date created, date formed, date founded, date incorporated, date of commencement, date of creation, date of foundation, date of foundation or creation, date of incorporation, dedication date, established, established on date, first issue, formation date, formed at, formed on date, foundation / creation date, foundation date, founded, founded on date, inaugurated, incorporated, incorporated on date, incorporation date, inititated, launch date, time of foundation or creation, time of inception, written on date, year commenced, year created, year established, year founded, year incorporated, year written, launched
P575	date discovered, date of discovery, date of invention, discovered, discovered on, discovery date, discovery time, invented, time of discovery, time of invention
P576	dissolved, end date, defunct, closed on, closure date, abolished, abolishment date, ceased to exist, date disbanded, date disestablished, date dissolved, date of dissolution, defunct date, demise date, demolished, destroyed in, disbanded, disbanded on, disestablished, dissolution date, dissolved on date, dissolved or abolished, dissolved, abolished, or demolished, ended, final issue, final year, folded, time abolished, time dissolved, time of abolishment, time of dissolution, wound up on date, date of demolition, demolition date
P577	publication, dop, released in, launch date, date of publication, first published, first released, air date, airdate, date of first publication, date of release, date published, date released, first publication, initial release, pubdate, publication time, published, release date, released, time of publication, year of publication, launched
P580	introduction, from, began, beginning, building date, from date, from time, introduced, since, start date, started in, starting, starttime, join date, join time
P582	to, until, ending, cease date, cease operation, cease time, closed, completed in, dissolved, divorced, end date, enddate, ends, endtime, fall date, left office, stop time, till
P585	date, year, time, when, as of, at time, during, event date, time of event, on, by date
P606	FF, 1st flight, maiden flight, time of first flight
P619	launch date, date of spacecraft launch, launch time, spacecraft launch date
P620	landing date, landing time, spacecraft landing date, spacecraft landing time
P621	decay date, time of spacecraft decay
P622	docking date, time of spacecraft docking/undocking, undocking date
P729	first light, commissioned, established, launch date, date of service entry, entered service, in service, service introduction, time of service entry
P730	out of service, retirement, retired, decommissioned, date of service retirement, time of service retirement
P746	last seen, disappeared, last known alive before disappearance, missing since, time of disappearance
P1191	premiere, date of first performance, premiere date, time of first performance, first performance date
P1249	date of first written record, earliest record, first historic record, first recorded in, first written record, time of prediction, first mentioned in writing
P1317	circa, work period, fl, active, fl., flourished, known alive in, living, alive at
P1619	introduction, grand opening, introduced, dedication date, inaugurated, launch date, date opened, official opening, officially opened on, opened, opening date, The official opening time
P1636	baptism date, baptised, baptized, date baptism, date of baptism in early childhood, time of baptism, christening date, date of christening, christened, time of christening
P2031	active since, fl. (start), floruit (start), floruit start, flourished (start), start time for work, years active, start date of activity, date of activity (start), work period start, work starts, career began, career start
P2032	active until, end time for work, fl. (end), floruit (end of work), floruit end, flourished (end), years active end, end date of activity, date of activity (end), work ends
P2669	EOL, ceased date, date discontinued, discontinuation date, end-of-life, discontinued, date of discontinuation, date product was discontinued, end-of-life date, EOL date
P2754	date of production, production date, year of production
P2913	date shown, depicts date, shown as at date, temporal coverage
P3893	copyright end date, PD date
P3999	closed, closed on, closed date, closing date, closure date, date of closure
P4602	burial date, cremation date
P6949	date announced, date of announcement, date of reveal, made public on, public announcement date
P7295	adoption of the Gregorian calendar, first date (N.S.), Gregorian calendar first used
P625	position, location, geolocation, co-ordinate location, co-ordinates, co-ords, coordinate location, coordinates, coords, geo, geocoordinates, geographic coordinate, geographical coordinates, geotag, gps, gps co-ordinate, gps co-ordinates, gps coordinate, gps coordinates, gps location, latitude, location on earth, Location on map, longitude, point on a map, point on earth, point on the globe, wgs 84, wgs-84, wgs84
P1332	coordinate of northernmost point, extreme point north, farthest north, most northerly, northerly point, wikibase:geoLatitude ?max
P1333	coordinate of southernmost point, extreme point south, farthest south, most south, southerly, wikibase:geoLatitude ?min
P1334	coordinate of easternmost point, easterly, extreme point east, farthest east, most eastern, wikibase:geoLongitude ?E
P1335	coordinate of westernmost point, extreme point west, extreme west, most western, westerly point, wikibase:geoLongitude ?W
P2786	ARP, airfield reference point, airport reference point
P5140	geographical center, geographical centre, geographical midpoint, coordinates of geographic centre, geographic center, geographic centre
