Q100	Boston
Q100850	Neviano degli Arduini
Q100854	Noceto
Q100858	Palanzano
Q10086	Mysore
Q1008673	Paul Dougherty
Q1008912	Montecito
Q100894	Pellegrino Parmense
Q100902	Roccabianca
Q100905	Sala Baganza
Q10091	Janica Kostelić
Q100916	Salsomaggiore Terme
Q100919	San Secondo Parmense
Q100923	Sissa
Q100926	Solignano
Q100932	Soragna
Q100937	Fred Astaire
Q1009405	Bundoran
Q100943	Sorbolo
Q100946	Terenzo
Q1009495	George O'Brien
Q100951	Tizzano Val Parma
Q100955	Tornolo
Q100959	Torrile
Q100962	Traversetolo
Q100973	Valmozzola
Q100977	Varano de' Melegari
Q1009788	The Conversation
Q100980	Varsi
Q100983	Zibello
Q1010	Maribor
Q1010099	Get Carter
Q10101	Picabo Street
Q1010144	Hluboká nad Vltavou
Q1010247	Alamosa
Q101028	Dalmine
Q1010307	The Most Beautiful Villages of France
Q101032	Dossena
Q101036	Endine Gaiano
Q101039	Entratico
Q101042	Fara Gera d'Adda
Q101045	Fara Olivana con Sola
Q101048	Filago
Q101053	Fino del Monte
Q1010548	United States Bureau of Reclamation
Q101057	Fiorano al Serio
Q1010595	Lehi
Q101060	Fontanella, Lombardy
Q101063	Fonteno
Q101067	Foppolo
Q101073	Foresto Sparso
Q101077	Fornovo San Giovanni
Q101082	Fuipiano Valle Imagna
Q1011	Cape Verde
Q1011035	Chauvigné
Q1011038	Corps-Nuds
Q1011061	Bourgbarré
Q1011085	Baillé
Q101109	Gandellino
Q1011116	Portola Valley
Q101112	Gandino
Q101115	Gandosso
Q101117	Gaverina Terme
Q1011181	La Cañada Flintridge
Q101130	Gazzaniga
Q101134	Ernst Sprockhoff
Q101135	Gerosa
Q101139	Ghisalba
Q101142	Gorlago
Q101145	Gorle
Q101148	Gorno
Q1011509	Golden Globe Award for Best Motion Picture – Drama
Q101151	Grassobbio
Q101155	Gromo
Q101158	Grone
Q1011589	Maure-de-Bretagne
Q1011606	Saint-Brice-en-Coglès
Q101161	Grumello del Monte
Q101179	Isola di Fondra
Q10118	Victoria Azarenka
Q101182	Isso
Q101183	Hans Hugo Klein
Q101187	Lallio
Q101190	Leffe, Lombardy
Q101194	Lenna
Q101196	Levate
Q101199	Locatello
Q10120	Laura Robson
Q101202	Lovere
Q101205	Lurano
Q1012076	Richmond
Q101208	Luzzana
Q1012098	Gord Dineen
Q101224	Madone
Q101226	Mapello
Q101229	Martinengo
Q101232	Medolago
Q101236	Mezzoldo
Q101239	Misano di Gera d'Adda
Q101242	Moio de' Calvi
Q101248	Monasterolo del Castello
Q10125	Andy Murray
Q101251	Montello
Q101255	Morengo
Q101258	Mornico al Serio
Q101262	Mozzanica
Q1012631	Rovenky
Q101264	Mozzo
Q101269	Nembro
Q10129	Lisa Raymond
Q101291	Olmo al Brembo
Q101295	Oltre il Colle
Q101298	Oltressenda Alta
Q1013	Lesotho
Q101301	Oneta, Lombardy
Q101304	Onore
Q1013083	Saint-Gilles-Vieux-Marché
Q101309	Orio al Serio
Q10131	Francisco Varallo
Q101312	Ornica
Q101315	Osio Sopra
Q1013168	Sévignac
Q101318	Osio Sotto
Q1013228	Sayreville
Q1013249	Secaucus
Q1013261	Fort Lee
Q101341	Lillehammer
Q1013441	Caudeval
Q101346	Pagazzano
Q101350	Paladina
Q101358	Palosco
Q1013603	Lisores
Q101364	Parre
Q101369	Parzanica
Q1013698	Mesnil-Clinchamps
Q101372	Pedrengo
Q101377	Peia
Q101379	Pianico
Q101382	Piario
Q101388	Piazza Brembana
Q1013885	Chrastava
Q1013957	Notre-Dame-d'Estrées
Q1013973	Saint-Guen
Q1013984	Saint-Gilles-du-Mené
Q1014	Liberia
Q101408	Klaus Vogel
Q101409	Piazzatorre
Q101413	Piazzolo
Q101416	Pognano
Q101423	Ponte Nossa
Q101426	Ponte San Pietro
Q1014266	Sotira Ammochostou
Q101428	Ponteranica
Q101433	Pontida
Q101466	Pontirolo Nuovo
Q1014699	Demir Kapija
Q101470	Pradalunga
Q101474	Predore
Q1014753	L'Hermitage-Lorge
Q1014758	Plénée-Jugon
Q101477	Premolo
Q1014789	Saint-Gelven
Q101481	Presezzo
Q1014819	Burgdorf–Thun railway line
Q101484	Pumenengo
Q1015	Koper
Q101500	Ranica
Q101503	Ranzanico
Q101507	Riva di Solto
Q101510	Rogno
Q101512	Romano di Lombardia
Q101515	Roncobello
Q101519	Roncola
Q101522	Rota d'Imagna
Q101526	Rovetta
Q101545	San Giovanni Bianco
Q101548	San Paolo d'Argon
Q1015482	National Popular Vote Interstate Compact
Q101549	Erich Vermehren
Q101551	San Pellegrino Terme
Q101554	Sant'Omobono Terme
Q101557	Santa Brigida
Q101560	Sarnico
Q101563	Scanzorosciate
Q101566	Schilpario
Q1015676	Goulier
Q101569	Sedrina
Q101572	Selvino
Q101576	Seriate
Q101580	Serina, Lombardy
Q101585	Solto Collina
Q1015874	Sherman Oaks
Q101590	Songavazzo
Q1016	Libya
Q101612	Sorisole
Q101616	Sotto il Monte Giovanni XXIII
Q101617	Heidrun Bluhm
Q101620	Sovere
Q101623	Spinone al Lago
Q101625	Marrakesh
Q101628	Spirano
Q101631	Stezzano
Q101634	Strozza
Q101637	Suisio
Q101641	Taleggio
Q101645	Tavernola Bergamasca
Q101648	Telgate
Q101651	Terno d'Isola
Q101654	Torre Boldone
Q101657	Torre Pallavicina
Q1016590	Edgefield
Q101661	Torre de' Roveri
Q101663	Trescore Balneario
Q1016669	Montlaur
Q1016685	The Cloud
Q101683	Uvo Hölscher
Q101685	Treviglio
Q1016894	La Motte-du-Caire
Q101690	Treviolo
Q101693	Ubiale Clanezzo
Q101696	Urgnano
Q101699	Valbondione
Q1017	Aachen
Q101702	Valbrembo
Q101706	Valgoglio
Q101709	Valleve
Q101713	Valnegra
Q101718	Valtorta, Lombardy
Q101721	Vedeseta
Q101724	Verdellino
Q101730	1998 FIFA World Cup
Q101744	Verdello
Q101747	Vertova
Q101750	Viadanica
Q101751	1994 FIFA World Cup
Q101753	Vigano San Martino
Q101756	Vigolo
Q101759	Villa d'Adda
Q101763	Villa d'Almè
Q101765	Erwin Waldner
Q101766	Villa d'Ogna
Q101770	Villa di Serio
Q101773	Villongo
Q1017781	Agnières-en-Dévoluy
Q101780	Vilminore di Scalve
Q101783	Zandobbio
Q1017841	Bénévent-et-Charbillac
Q101797	Winona Ryder
Q1018042	Butter
Q101810	Zanica
Q101812	Zogno
Q1018239	Selkirk
Q1018487	Bye Bye Birdie
Q1018584	Villa Nueva City
Q101859	VfL Wolfsburg
Q1018591	Byron Bitz
Q1018595	Curbans
Q1018608	Val-de-Chalvagne
Q1018614	Byron Haskin
Q1018631	Byron Ritchie
Q1018700	Bystřice nad Pernštejnem
Q1019	Madagascar
Q10191	Piossasco
Q1019156	Saint-Saturnin-lès-Apt
Q10192	Piscina
Q10193	Piverone
Q10194	Poirino
Q1019496	Moose Jaw
Q1019532	Markleeville
Q101959	Borussia Mönchengladbach
Q10197	Pomaretto
Q10198	Pont-Canavese
Q1020	Malawi
Q10200	Porte
Q10201	Pragelato
Q1020241	Børgefjell National Park
Q102026	Paul Zanker
Q102027	Fabio Cannavaro
Q10203	Prali
Q10204	Pralormo
Q10205	Pramollo
Q1020512	Margalef
Q1020603	Stage Door
Q1020678	Independence
Q10207	Prarostino
Q1020700	Castro Valley
Q10208	Prascorsano
Q10209	Pratiglione
Q1021	Kranj
Q10211	Quagliuzzo
Q10212	Quassolo
Q102124	Sigourney Weaver
Q10213	Quincinetto
Q10215	Reano
Q102158	Narva
Q10217	Ribordone
Q102178	FIDE
Q1021786	Noyal-Châtillon-sur-Seiche
Q1021866	Bützower See
Q10219	Riva presso Chieri
Q1022	Stuttgart
Q10221	Rivalba
Q102217	Vitebsk
Q10222	Rivalta di Torino
Q102225	Harry Potter and the Goblet of Fire
Q102235	Harry Potter and the Order of the Phoenix
Q1022373	Mother, Jugs & Speed
Q10224	Rivara
Q102244	Harry Potter and the Chamber of Secrets
Q1022537	Warren Vanders
Q10226	Rivarolo Canavese
Q102272	Jan van Eyck
Q102274	Peter Latz
Q102289	Buckminster Fuller
Q10229	Rivarossa
Q1022904	Club Atlético Atlanta
Q102291	Francis William Aston
Q1022923	Club Atlético Gimnasia y Esgrima de Jujuy
Q1022939	Club Atlético Talleres
Q10231	Rivoli
Q1023114	CDGVAL
Q102317	Kielce
Q1023185	Estudiantes Tecos
Q1023191	Club Deportivo Huachipato de Las Condes
Q1023193	Atlético Irapuato
Q10232	Robassomero
Q1023208	Club Olimpia Deportivo
Q102322	Helen of the Palatinate
Q1023222	Santiago Morning
Q1023235	Tiburones Rojos de Veracruz
Q102331	Sócrates
Q10234	Rocca Canavese
Q102341	Farrah Fawcett
Q1023498	Laillé
Q102350	Bytom
Q1023532	Atlas F.C.
Q10236	Roletto
Q10237	Romano Canavese
Q10239	Ronco Canavese
Q1023937	Namie
Q102397	Miskolc
Q1024085	El Sobrante
Q10241	Rondissone
Q1024100	Sun City West
Q102419	Derek Barton
Q10242	Rorà
Q1024264	Clube de Regatas Brasil
Q10243	Rosta
Q1024337	Comunicaciones FC
Q1024341	C.S.D. Municipal
Q102438	Harry Potter and the Philosopher's Stone
Q1024426	University of South Carolina
Q102445	Kovrov
Q1024460	C.S. Cartaginés
Q102448	Harry Potter and the Prisoner of Azkaban
Q1024486	Club Sport Uruguay de Coronado
Q10245	Roure
Q102454	Paul Samuelson
Q10246	Rubiana
Q102462	James Stewart
Q10247	Rueglio
Q10248	Salassa
Q1024839	Cabin in the Sky
Q1025	Mauritania
Q10250	Salbertrand
Q1025096	Caddyshack II
Q10252	Salerano Canavese
Q102529	John III of the Palatinate
Q1025387	Maasin
Q10254	Salza di Pinerolo
Q1025401	Scarborough
Q10255	Samone
Q102551	Ernest Borgnine
Q102555	Agliana
Q102558	Agazzano
Q10256	San Benigno Canavese
Q102562	Alseno
Q102565	Besenzone
Q102566	Buggiano
Q102569	Bettola
Q10257	Channel Tunnel
Q102576	Borgonovo Val Tidone
Q102578	Chiesina Uzzanese
Q10258	San Carlo Canavese
Q102580	Cadeo
Q102583	Calendasco
Q102585	Johann Gottlieb Fichte
Q102587	Caminata
Q102589	Cutigliano
Q102590	Caorso
Q102599	Lamporecchio
Q1025999	2010 Caisse d'Épargne
Q10260	San Colombano Belmonte
Q102609	Larciano
Q1026120	Cal Gardner
Q102615	Marliana
Q10262	San Didero
Q102621	Carpaneto Piacentino
Q102623	Massa e Cozzile
Q102625	Castel San Giovanni
Q1026274	Tagoloan
Q1026296	Jinotega
Q10263	San Francesco al Campo
Q102631	Castell'Arquato
Q102634	Monsummano Terme
Q102636	Castelvetro Piacentino
Q1026372	Taza, Son of Cochise
Q102639	Cerignale
Q10264	San Germano Chisone
Q102642	Diane Keaton
Q102643	Coli, Emilia-Romagna
Q1026449	Son of Ali Baba
Q102647	Corte Brugnatella
Q1026484	The Cimarron Kid
Q10265	San Gillio
Q102652	Montale
Q102661	Pescia
Q1026615	The Battle at Apache Pass
Q102664	Mikhail Tal
Q1026650	Red Ball Express
Q1026669	The Lawless Breed
Q1026679	Calgary Stampeders
Q1026724	The Man from the Alamo
Q102673	Gazprom
Q1026744	Dolno Srpci
Q1026756	Beverly Hills Chihuahua 2
Q102677	Pieve a Nievole
Q10268	San Giorgio Canavese
Q1026827	California Institute of the Arts
Q10268484	Douglas dos Santos
Q1026872	The Paperboy
Q102691	Cortemaggiore
Q1026939	California State University, Northridge
Q1027	Mauritius
Q102700	Farini, Emilia-Romagna
Q102706	Piteglio
Q10271	San Giorio di Susa
Q102711	Dennis Hopper
Q102716	Quarrata
Q10272	San Giusto Canavese
Q1027209	Calle Johansson
Q102725	Sambuca Pistoiese
Q102727	Ferriere
Q10273	San Martino Canavese
Q102736	San Marcello Pistoiese
Q1027483	Luiz Diallisson de Souza Alves
Q10275	San Maurizio Canavese
Q102754	Dr. No
Q10276	San Mauro Torinese
Q102762	Azov
Q1027645	Edel Therese Høiseth
Q102767	Fiorenzuola d'Arda
Q1027680	White Sands
Q10277	San Pietro Val Lemina
Q102771	Gazzola
Q102776	Gossolengo
Q10278	San Ponso
Q102780	Serravalle Pistoiese
Q102781	Gragnano Trebbiense
Q102784	Gropparello
Q1027888	Paradise Lost
Q10279	San Raffaele Cimena
Q1027900	Cam Atkinson
Q1027905	Cam Fowler
Q102791	Uzzano
Q1027913	Cam Neely
Q1028	Morocco
Q10280	San Sebastiano da Po
Q102807	Lugagnano Val d'Arda
Q10281	San Secondo di Pinerolo
Q1028109	Greg Gilbert
Q102811	Monticelli d’Ongina
Q102813	Yul Brynner
Q102816	Morfasso
Q1028196	Cambria
Q102820	Nibbiano
Q102822	Jacobus Henricus van 't Hoff
Q102824	Ottone
Q10284	Sangano
Q102840	Pecorara
Q102845	Pianello Val Tidone
Q1028538	Macaé Esporte Futebol Clube
Q1028569	Guillaume Bonnafond
Q10286	Club Atlético Osasuna
Q1028729	Cameron Gaunce
Q1028782	Larry DePalma
Q1029	Mozambique
Q1029040	solar eclipse of August 11, 2018
Q10291	Sant'Ambrogio di Torino
Q1029191	Camille Henry
Q10292	Sant'Antonino di Susa
Q102920	UEFA Euro 2004
Q102925	Piozzano
Q10293	Santena
Q102931	Podenzano
Q1029339	Delhi Metro Rail Corporation
Q102946	Ponte dell'Olio
Q10294979	Herbert Berghof
Q10295	Sauze d'Oulx
Q102951	Pontenure
Q1029535	Evan Jones
Q1029546	The Public Eye
Q102958	Rivergaro
Q1029594	Keith Allen
Q1029606	Susan's Plan
Q102965	Rottofreno
Q1029664	Dinara Safina
Q10297	Sauze di Cesana
Q1029710	Camorta
Q102972	San Giorgio Piacentino
Q1029761	Euskal Herria Bildu
Q102979	San Pietro in Cerro
Q10298	Scalenghe
Q102985	Sarmato
Q10299	Scarmagno
Q102991	Travo
Q1029921	Blue Line
Q102997	Vernasca
Q102999	Bientina
Q1030	Namibia
Q10300	Rayo Vallecano
Q103004	Buti
Q103006	Vigolzone
Q10301	Sciolze
Q103010	Calci
Q103015	Villanova sull'Arda
Q103016	Calcinaia
Q10302	Sestriere
Q103022	Capannoli
Q103026	Zerba
Q10303	Settimo Rottaro
Q1030307	Igor Grabar
Q103031	Ziano Piacentino
Q10304	Settimo Torinese
Q103040	Casale Marittimo
Q1030402	John W. Campbell Memorial Award for Best Science Fiction Novel
Q1030465	John Russell
Q103049	Cascina
Q10305	Zaragoza
Q103053	Castelfranco di Sotto
Q103058	Castellina Marittima
Q10306	Settimo Vittone
Q1030652	Ricochet
Q10307	Sparone
Q1030713	Another World
Q103077	Castelnuovo di Val di Cecina
Q10307713	The Hunger Games: Mockingjay – Part 2
Q10308	Real Zaragoza
Q103081	Chianni
Q103083	Andreas Paulus
Q10309	Strambinello
Q1030918	Malappuram district
Q103093	Västra Götaland County
Q103095	Guardistallo
Q1030954	The Net
Q10310	Strambino
Q10311	Susa
Q103110	Lajatico
Q10312	Tavagnasco
Q1031200	Portland Timbers
Q1031248	The Flash
Q103127	Montecatini Val di Cecina
Q10313	Donostia-San Sebastián
Q103136	Montescudaio
Q1031383	Matlock
Q10314	Torrazza Piemonte
Q103148	Lahn
Q10315	Real Sociedad
Q1031504	2013 UCI World Tour
Q103155	Monteverdi Marittimo
Q103157	Kurt Russell
Q10316	Torre Canavese
Q103161	Montopoli in Val d'Arno
Q103170	Orciano Pisano
Q103178	Palaia
Q10318	Torre Pellice
Q1031821	Can-Can
Q103186	Peccioli
Q10319	Real Valladolid
Q1031953	Buffalo Bill
Q1031994	Gairdner Foundation International Award
Q1032	Niger
Q10320	Trana
Q103201	Pomarance
Q103209	Ponsacco
Q103217	Częstochowa
Q103219	Pontedera
Q10322	Trausella
Q1032266	The Burglar's Dilemma
Q103228	Riparbella
Q10323	Traversella
Q1032317	Maria Anna d'Asburgo-Lorena
Q103239	San Giuliano Terme
Q10324	Traves
Q103244	San Miniato
Q10325	Trofarello
Q103253	Santa Croce sull'Arno
Q1032540	Canal+
Q10326	Usseaux
Q1032609	George Thorne
Q103262	Santa Luce
Q10326478	Mario Rodríguez
Q103270	Santa Maria a Monte
Q103279	Terricciola
Q10328	Usseglio
Q103287	Vecchiano
Q10329	Sevilla FC
Q103297	Vicopisano
Q10330	Vaie
Q1033016	Halle Berry
Q103305	Volterra
Q1033050	Matt Lojeski
Q1033084	Candy Candido
Q10331	Valgioie
Q1033191	Death Race
Q1033220	Massachusetts Route 2
Q10333	Valencia CF
Q10334	Vallo Torinese
Q10334090	My Favorite Blonde
Q103343	Jennifer Connelly
Q10335	Valperga
Q10336	Valprato Soana
Q10336513	Never Say Die
Q1033692	Santa Monica College
Q10337	Varisella
Q10338	Vauda Canavese
Q1033882	Fabio Aru
Q10339	Venaria Reale
Q1033909	Mark Ivanir
Q103402	Acquafredda
Q103408	Adro
Q1034128	Harry Guardino
Q103413	Agnosine
Q103417	Alfianello
Q10342	Venaus
Q103420	Anfo
Q10343	Verolengo
Q1034312	Cape Canaveral Air Force Station Launch Complex 14
Q1034348	Cape Canaveral Space Launch Complex 41
Q103435	Angolo Terme
Q10344	Verrua Savoia
Q103440	Artogne
Q103443	Azzano Mella
Q1034556	Hawthorn Football Club
Q10346	Vestignè
Q103462	Bagnolo Mella
Q1034635	Capital Bikeshare
Q103465	Bagolino
Q10347	Vialfrè
Q103474	2001: A Space Odyssey
Q10348	Vico Canavese
Q103487	Barbariga, Lombardy
Q10349	Vidracco
Q1035	Charles Darwin
Q10350	Vigone
Q10350033	Pirates of the Caribbean: Dead Men Tell No Tales
Q103502	Barghe
Q103504	Bassano Bresciano
Q103508	Bedizzole
Q1035093	Captain America
Q1035098	Buzz Lightyear of Star Command
Q10351	Villafranca Piemonte
Q1035124	Captain Newman, M.D.
Q103514	Berlingo
Q10352	Villanova Canavese
Q103528	Berzo Demo
Q103533	Berzo Inferiore
Q103538	Bienno
Q10354	Villar Dora
Q10355	Villar Focchiardo
Q10356	Villar Pellice
Q103561	Bione
Q103567	Borgo San Giacomo
Q103569	Alien
Q10357	Villar Perosa
Q103572	Borgosatollo
Q1035752	Shire of Cardinia
Q103576	Borno, Lombardy
Q103578	Macaulay Culkin
Q10358	Villarbasse
Q103582	Botticino
Q10359	Villareggia
Q1035958	Carey Wilson
Q1036	Uganda
Q10360	Villastellone
Q103603	Bovegno
Q10361	Vinovo
Q10361338	Rightful Heir
Q103617	Bovezzo
Q10362	Virle Piemonte
Q103630	Brandico
Q103635	Braone
Q10364	Vische
Q103640	Breno
Q103646	Ron Howard
Q1036504	Katsuo Ōno
Q1036505	Setana
Q103659	Skåne County
Q10366	Vistrorio
Q10366645	Stoxx Europe 600 Index
Q103668	Brione
Q103672	Jönköping County
Q103679	Jämtland County
Q103686	Norrbotten County
Q10368694	Say it in French
Q10369	Viù
Q103691	Halland County
Q103693	Caino
Q103699	Gävleborg County
Q1037	Rwanda
Q10370	Volpiano
Q103706	Winfried Brugger
Q103707	Kalmar County
Q103709	Calcinato
Q103714	Calvagese della Riviera
Q1037163	Carl Brewer
Q103717	Rovaniemi
Q10371896	Sing, Baby, Sing
Q103725	Hafnarfjörður
Q10373	Volvera
Q103730	Calvisano
Q103732	Dalarna County
Q103739	Capo di Ponte
Q103740	Ulla Jelpke
Q1037409	Hokuriku Shinkansen
Q103756	Eddy Merckx
Q103763	Capovalle
Q103764	Jutta Steinruck
Q103768	Capriano del Colle
Q103784	Donald Sutherland
Q1037848	Carl Foreman
Q103786	Alabat
Q103788	Mervyn LeRoy
Q103791	Capriolo
Q1038051	Shin'etsu Main Line
Q103810	Carpenedolo
Q1038117	Hanshin Namba Line
Q103813	Castegnato
Q10381565	The Lone Ranger
Q103828	Castel Mella
Q103832	Castelcovati
Q103835	Peter Debye
Q103837	Castenedolo
Q10383892	Town Tamer
Q103840	Casto
Q10384115	Transcendence
Q103846	Groucho Marx
Q103847	Castrezzato
Q10385027	Groton
Q103854	Aage Niels Bohr
Q1038576	Carl Hagelin
Q103867	Cazzago San Martino
Q1038714	Japan National Route 6
Q103874	Cedegolo
Q103876	Peter O'Toole
Q103883	Cellatica
Q10389	Bandung
Q103891	Cerveno
Q103892	Zabrze
Q103894	Alec Guinness
Q103899	General Nakar
Q1039	São Tomé and Príncipe
Q103902	Rudolph Nissen
Q1039055	Carl Johann Lasch
Q103908	Ceto
Q103917	Steven Soderbergh
Q1039367	Carl Laemmle Jr.
Q103939	Charlie Sheen
Q103946	Kiefer Sutherland
Q103949	Buster Keaton
Q103987	Perez
Q103995	Cevo
Q103999	Chiari
Q1040	Karlsruhe
Q10400	Almería
Q104000	Lauren Bacall
Q104007	Cigole
Q10401	Lindau
Q104014	Cimbergo
Q104017	Cividate Camuno
Q10402	Oberallgäu
Q104020	Quezon
Q1040240	Franco Rossi
Q104027	Kirk Douglas
Q104036	Ventspils
Q104046	Coccaglio
Q1040470	Three Comrades
Q104049	Sidney Poitier
Q10405	Ostallgäu
Q104050	Collebeato
Q104057	Collio
Q104061	Steve Buscemi
Q104064	Cologne
Q104067	Eli Wallach
Q104069	Comezzano-Cizzago
Q10407	Unión Deportiva Almería
Q1040703	Tobu Tojo Line
Q104074	Concesio
Q1040783	Carl Switzer
Q10408	Unterallgäu
Q104081	Mickey Rooney
Q104090	Corte Franca
Q104095	Molde
Q104096	Corteno Golgi
Q1041	Senegal
Q10410	Neu-Ulm
Q104102	Corzano
Q104109	Mary Pickford
Q1041196	Finch
Q10412	Günzburg
Q104123	Pulp Fiction
Q104127	Douglas Fairbanks
Q104137	Unforgiven
Q10414	Augsburg
Q104146	Deborah Kerr
Q104148	Vasily Smyslov
Q10415	Aichach-Friedberg
Q10417	Dillingen
Q10418	Donau-Ries
Q104183	Lillian Gish
Q1041834	Suddenly
Q10419	Tirschenreuth
Q1041910	Beaumarchés
Q104192	Kleinmachnow
Q1041932	Cazaubon
Q1041958	Castéra-Verduzan
Q1042	Seychelles
Q10420	Neustadt an der Waldnaab
Q1042008	Sakai-ku
Q1042010	Carlo Casini
Q104202	Gustav Neckel
Q1042061	Carlo Colaiacovo
Q10421	Amberg-Sulzbach
Q10423	Schwandorf
Q104231	Stockholm County
Q1042350	2010 Tirreno–Adriatico
Q10424	Cham
Q1042435	Carlo Recalcati
Q104257	Örebro County
Q104266	Mel Brooks
Q10427	Neumarkt
Q1042892	James Barry
Q10429	Regensburg
Q104301	Karl Weinhold
Q104302	Chorzów
Q10431	Hof
Q1043188	Takarazuka Station
Q10432	Wunsiedel
Q10433111	Harrison Chongo
Q1043318	Carlos de Haes
Q10434	Kronach
Q104340	Harold Lloyd
Q1043527	Multilateral Investment Guarantee Agency
Q10436	Kulmbach
Q1043659	Carmen Jones
Q104372	Doris Day
Q1043732	Mikunigaoka Station
Q104379	Vadsø
Q1043830	Kagoshima district
Q10439	Bayreuth
Q1044	Sierra Leone
Q10440	Coburg
Q104400	Hamar Municipality
Q1044037	Carnival Conquest
